grams,cm
4.476908469641014,2.2692269371860987
5.475507525798209,2.1972784617969014
4.118319534570784,2.5292846587976068
4.042853176946694,2.0236507178651535
4.612218817999914,3.2138306079685606
4.228998064640018,2.078750266887369
4.950221881631587,2.092522480587176
5.317202067074956,2.815538477408283
4.38350050121508,1.7021759010228374
3.2302442208681024,2.191861818416696
3.1583084553834353,1.6225642287353375
3.9210792497808122,1.7685942265780872
4.355154130726241,3.1538525535490933
4.8285494225951,3.5179861363918756
3.9953756082784238,1.52505554692601
6.7001308117773455,2.2364687975518085
4.993648212734457,2.7493991390405657
6.625758818114152,3.3497532253252063
4.635188542878312,2.6258084612115717
4.099285925226007,3.2393877810990475
4.939056745248892,2.4370654235160902
0.844765410526914,0.9420975349921121
6.480181790370677,3.2701892625232305
4.064590292891749,2.659305905528988
6.35000821878564,2.842049971200055
4.261941563282241,1.6752533312407265
3.307053333355422,2.0464178599364495
4.6234757482821145,1.4376711217251468
3.7914968770597532,2.3201321725808035
4.499683182981228,1.6515959030669682
5.185751342233354,2.185043914666825
4.159635683284781,2.131332247018707
2.945584087316401,1.8136267522030562
5.157297031966863,2.1577703052113124
5.638949731644807,3.1179868473100827
3.1900691998612705,2.544620723881045
5.693149593500662,2.242082958563558
5.63777384664177,2.5423658522264536
5.755631857443492,3.4538201820962833
4.955801274648879,2.6386586330600807
4.715491076820554,2.263422809157469
3.110014086291505,0.6777199438528838
3.3036665116150967,2.036084295537619
3.37035599255304,2.9409630882623423
2.6187493293379647,2.5188528494624522
4.056978152350466,1.6437905322402777
4.103277337926035,2.9962942189029507
3.7904809779341737,2.4492621436988338
3.5086947047223798,2.6811691186553404
2.605263895076214,1.2120565363665017
3.2854734382182205,2.740790507597354
3.9768174375939935,2.468306714976061
5.689300800220768,3.485971376906023
4.3582022746319575,2.884701748627121
5.602652142271018,1.9995638037205115
4.18236794000803,1.8781173007550955
3.3638110882113113,2.71295590153223
4.038527988900276,2.5001468527211075
4.978712930907557,2.9542045401023413
5.379804805770149,2.7559599044999294
6.4795276466257485,3.622854977541265
3.1436441846824437,1.7346307517020898
4.079908400609846,2.557176414530674
5.08957429506032,3.1598310860689724
2.2921259015685758,1.6822152031495854
4.079937078883467,1.9715819844218443
3.9871567243036274,2.294599103841554
4.434027948363642,2.9223372849592075
3.2956656518805265,2.001224038938327
4.365635967157683,1.9232297637110902
3.6396281637760617,2.0930708260070627
3.682018592259646,1.2502699010471674
4.42903263661393,2.7834023804113674
3.8009759939344745,1.681393745175614
5.7247642929033855,1.6332291782524864
6.847867507113993,3.3594068054564303
3.610549612836252,2.11302772562257
5.6803746251532266,3.412882206364464
2.85033023952257,2.301869643068192
1.440863608486648,1.1709547568469605
3.608084993765328,1.412819104250078
5.716475483713681,3.123412605551147
3.0604382948702877,2.188072489463616
5.772531584195132,2.7447351819378367
4.541792213030859,1.77170170076091
4.206492953909354,1.8506295869523899
6.417185297550974,3.240538390382457
4.650104734598342,2.7909697604891535
3.05223717188987,1.7821999824378663
